timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-11-11T00:00:00.000Z";"2024-11-11T23:59:59.999Z";"2024-11-11T20:22:00.000Z";"2024-11-11T21:18:00.000Z";"2781";1.0007622752;1.0024002262;0.9997327769;1.001115737;221704336713.28;123515926641.8;"2024-11-11T23:59:59.999Z"
"2024-11-10T00:00:00.000Z";"2024-11-10T23:59:59.999Z";"2024-11-10T18:07:00.000Z";"2024-11-10T04:55:00.000Z";"2781";1.0004513604;1.0013068895;0.9990023003;1.0006928905;178936402106.99;123294894268.97;"2024-11-10T23:59:59.999Z"
"2024-11-09T00:00:00.000Z";"2024-11-09T23:59:59.999Z";"2024-11-09T11:30:00.000Z";"2024-11-09T19:19:00.000Z";"2781";1.0005493383;1.0008355797;0.9998345029;1.0004401103;79860693662.11;123083871281.01;"2024-11-09T23:59:59.999Z"
"2024-11-08T00:00:00.000Z";"2024-11-08T23:59:59.999Z";"2024-11-08T19:58:00.000Z";"2024-11-08T00:21:00.000Z";"2781";1.0007185295;1.0014843155;0.9997831852;1.0004591271;102072246664.84;122020731648.81;"2024-11-08T23:59:59.999Z"
"2024-11-07T00:00:00.000Z";"2024-11-07T23:59:59.999Z";"2024-11-07T20:59:00.000Z";"2024-11-07T19:28:00.000Z";"2781";1.0008328772;1.0018000406;0.9996819865;1.0007146165;113210698440.96;121465868840.1;"2024-11-07T23:59:59.999Z"
"2024-11-06T00:00:00.000Z";"2024-11-06T23:59:59.999Z";"2024-11-06T20:20:00.000Z";"2024-11-06T03:41:00.000Z";"2781";0.999976157;1.0017520893;0.9989142739;1.0008296967;174263401160.84;120600360127.61;"2024-11-06T23:59:59.999Z"
"2024-11-05T00:00:00.000Z";"2024-11-05T23:59:59.999Z";"2024-11-05T20:47:00.000Z";"2024-11-05T04:46:00.000Z";"2781";0.9995503507;1.0009741395;0.9990881655;1.0000010441;69890308288.12;120493756335.3;"2024-11-05T23:59:59.999Z"
"2024-11-04T00:00:00.000Z";"2024-11-04T23:59:59.999Z";"2024-11-04T14:51:00.000Z";"2024-11-04T09:23:00.000Z";"2781";0.9995763787;1.0006363199;0.9989084679;0.9995651905;64129566491.64;120522523938.18;"2024-11-04T23:59:59.999Z"
"2024-11-03T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-11-03T13:56:00.000Z";"2024-11-03T19:24:00.000Z";"2781";0.9997430211;1.0007088288;0.9992632534;0.9995908102;57567131254.93;120525662308.96;"2024-11-03T23:59:59.999Z"
"2024-11-02T00:00:00.000Z";"2024-11-02T23:59:59.999Z";"2024-11-02T09:02:00.000Z";"2024-11-02T00:21:00.000Z";"2781";0.999518302;1.0004887334;0.9993202263;0.9996574453;35453783349.13;120545315339.3;"2024-11-02T23:59:59.999Z"
