,Date,Price,Log Return,SP500_Log_Return,COVID
2,2017-01-04,1154.7299804688,0.10096034523205952,0.005705963770549438,0
3,2017-01-05,1013.3800048828,-0.1305752503587813,-0.0007709676024811847,0
4,2017-01-06,902.2009887695,-0.11620924119420283,0.0035107891805790594,0
5,2017-01-07,908.5850219727,0.007051147530168502,-0.0011835648953133434,0
6,2017-01-08,911.1989746094,0.0028728183557759947,-0.0011849673812717222,0
7,2017-01-09,902.8280029297,-0.009229224484777726,-0.0011863731949744796,0
8,2017-01-10,907.6790161133,0.005358747291355826,0.000819634597063736,0
9,2017-01-11,777.757019043,-0.15447664907680256,0.0028256423891019514,0
10,2017-01-12,804.833984375,0.03422186501685423,-0.002147112393729617,0
11,2017-01-13,823.9840087891,0.023515097351763648,0.0018481313951466559,0
12,2017-01-14,818.4119873047,-0.006785261137408509,-0.0007421509984361695,0
13,2017-01-15,821.7979736328,0.004128728905012075,-0.0007427021956375321,0
14,2017-01-16,831.533996582,0.011777592965026847,-0.0007432542121982301,0
15,2017-01-17,907.9379882813,0.0879038977802681,-0.0007438070499466293,0
16,2017-01-18,886.617980957,-0.02376187851972628,0.0017622004698093201,0
17,2017-01-19,899.0729980469,0.013950027432453408,-0.003615837624319374,0
18,2017-01-20,895.0260009766,-0.004511461114062866,0.0033605840612999428,0
19,2017-01-21,921.7890014648,0.0294635794066912,-0.0008971105360402377,0
20,2017-01-22,924.6729736328,0.0031237843530507827,-0.0008979160660574383,0
21,2017-01-23,921.0120239258,-0.00396704151900178,-0.0008987230439720804,0
22,2017-01-24,892.6870117188,-0.031237062820287775,0.006543140528962317,0
23,2017-01-25,901.5419921875,0.009870593266904206,0.007994052795968681,0
24,2017-01-26,917.5859985352,0.017639684998997814,-0.0007356549352631034,0
25,2017-01-27,919.75,0.0023555870751540077,-0.0008668394897415927,0
26,2017-01-28,921.5900268555,0.0019985743438275905,-0.0020051902234139,0
27,2017-01-29,919.4959716797,-0.0022748052839267124,-0.0020092190912450875,0
28,2017-01-30,920.382019043,0.0009631589010409959,-0.002013264181437673,0
29,2017-01-31,970.4030151367,0.05292264278625685,-0.0008903016080325452,0
30,2017-02-01,989.0230102539,0.019006132801877126,0.00029831898811628964,0
31,2017-02-02,1011.799987793,0.02276859225923879,0.0005701468386910137,0
32,2017-02-03,1029.9100341797,0.01774054215904451,0.007238496854553608,0
33,2017-02-04,1042.9000244141,0.012533864584742654,-0.0007053677086157553,0
34,2017-02-05,1027.3399658203,-0.01503241332351873,-0.0007058656034394599,0
35,2017-02-06,1038.1500244141,0.010467402259443955,-0.0007063642016538376,0
36,2017-02-07,1061.3499755859,0.022101353214667996,0.00022680346384577153,0
37,2017-02-08,1063.0699462891,0.001619238325995358,0.0006930821486096318,0
38,2017-02-09,994.3829956055,-0.0667937371186523,0.00573606373596025,0
39,2017-02-10,988.6740112305,-0.005757777136341375,0.0035597068220090916,0
40,2017-02-11,1004.450012207,0.01583075640249717,0.0017470879852841627,0
41,2017-02-12,999.1810302734,-0.005259445444457248,0.001744040991448646,0
42,2017-02-13,990.6420288086,-0.00858272683420342,0.0017410046072786054,0
43,2017-02-14,1004.549987793,0.013941699990042068,0.003999327195672579,0
44,2017-02-15,1007.4799804688,0.002912476248526162,0.00497988866573445,0
45,2017-02-16,1027.4399414063,0.019618070354984467,-0.0008644916015501692,0
46,2017-02-17,1046.2099609375,0.018103858479543947,0.001677149327237158,0
47,2017-02-18,1054.4200439453,0.007816821423596588,0.0015108745941475293,0
48,2017-02-19,1047.8699951172,-0.006231366653704517,0.0015085952954099018,0
49,2017-02-20,1079.9799804688,0.030182976618091818,0.0015063228633944836,0
50,2017-02-21,1115.3000488281,0.03218096643723133,0.0015040572671174428,0
51,2017-02-22,1117.4399414063,0.0019168315547414083,-0.001082786146804093,0
52,2017-02-23,1166.7199707031,0.04315606560429249,0.00041889897125923353,0
53,2017-02-24,1173.6800537109,0.0059477896544394,0.0014922502320316529,0
54,2017-02-25,1143.8399658203,-0.02575316445720005,0.0003392701284197845,0
55,2017-02-26,1165.1999511719,0.018501711042938736,0.0003391550632366992,0
56,2017-02-27,1179.9699707031,0.012596285399254883,0.00033904007607724534,0
57,2017-02-28,1179.9699707031,0.024002619084543257,-0.0025817061151949088,0
58,2017-03-01,1222.5,0.035408952769831636,0.013581211083725323,0
59,2017-03-02,1251.0100097656,0.02305329049722392,-0.0058771169721052695,0
60,2017-03-03,1274.9899902344,0.018987094918908855,0.0005037503685347897,0
61,2017-03-04,1255.1500244141,-0.01568322097795853,-0.001093010734662736,0
62,2017-03-05,1267.1199951172,0.009491498113500526,-0.0010942067144665082,0
63,2017-03-06,1272.8299560547,0.00449612840115088,-0.0010954053144366191,0
64,2017-03-07,1223.5400390625,-0.03949440493414516,-0.0029176259020898777,0
65,2017-03-08,1150.0,-0.06198638601041199,-0.002286827964063899,0
66,2017-03-09,1188.4899902344,0.03292164322355671,0.0007995756127663866,0
67,2017-03-10,1116.7199707031,-0.06228779461112696,0.0032633397058585423,0
68,2017-03-11,1175.8299560547,0.05157845284237252,0.00012220347037048812,0
69,2017-03-12,1221.3800048828,0.038007127188604675,0.0001221885385071497,0
70,2017-03-13,1231.9200439453,0.008592592591656786,0.00012217361029200156,0
71,2017-03-14,1240.0,0.006537416006722991,-0.003384748980891005,0
72,2017-03-15,1249.6099853516,0.007720111292760662,0.008339879124686365,0
73,2017-03-16,1187.8100585938,-0.05072016609050869,-0.0016280347991836145,0
74,2017-03-17,1100.2299804688,-0.07659209371416403,-0.0013151792642314352,0
