Date,Log Return
2020-01-06,0.05723531008012321
2020-01-07,-0.005281653779555803
2020-01-08,-0.016052639677926278
2020-01-09,-0.016264699562599006
2020-01-10,0.03523749103572508
2020-01-11,-0.007226937149023453
2020-01-12,0.020407952212318864
2020-01-13,-0.01135715124923822
2020-01-14,0.14033321572554708
2020-01-15,0.0016576647890978312
2020-01-16,-0.011128689510333661
2020-01-17,0.038128128876137625
2020-01-18,0.02649741279004726
2020-01-19,-0.049060135971904714
2020-01-20,0.000901955830951294
2020-01-21,0.01530029476188107
2020-01-22,-0.008302048916788719
2020-01-23,-0.03240159793290653
2020-01-24,0.0007523439235769895
2020-01-25,-0.010897765263826202
2020-01-26,0.04125641407275393
2020-01-27,0.016836519689056244
2020-01-28,0.03132655321794566
2020-01-29,-0.007512300645454469
2020-01-30,0.05360774566677814
2020-01-31,-0.024835005900639955
2020-02-01,0.01931584156021502
2020-02-02,0.026559198026237203
2020-02-03,0.006592269130922085
2020-02-04,-0.003241550986964135
2020-02-05,0.07617593251084097
2020-02-06,0.03893642182362375
2020-02-07,0.047758184367471104
2020-02-08,0.0018859898092522121
2020-02-09,0.024051398517268417
2020-02-10,-0.022367029158749767
2020-02-11,0.053688122344874266
2020-02-12,0.11806010859003811
2020-02-13,0.010096066146985286
2020-02-14,0.05838255361229093
2020-02-15,-0.07103472934942763
2020-02-16,-0.018428532164032348
2020-02-17,0.024585153257174155
2020-02-18,0.05684880805609689
2020-02-19,-0.08193714066639042
2020-02-20,-0.007009728095061295
2020-02-21,0.02923006882047071
2020-02-22,-0.012383910282607075
2020-02-23,0.04262064941189158
2020-02-24,-0.031684301032825254
2020-02-25,-0.06785320134875523
2020-02-26,-0.09357371733747577
2020-02-27,0.004743819337338841
2020-02-28,3.133841344847931e-05
2020-02-29,-0.03095567109583739
2020-03-01,-0.004001255958654664
2020-03-02,0.05161608383024994
2020-03-03,-0.026768623786103608
2020-03-04,0.00017084294082821393
2020-03-05,0.020936671828127487
2020-03-06,0.06032838879008699
2020-03-07,-0.023567602163945274
2020-03-08,-0.16989652882332945
2020-03-09,0.006443301029174693
2020-03-10,-0.00605374345067539
2020-03-11,-0.029821145879572714
2020-03-12,-0.55073172062807
2020-03-13,0.17027192829193374
2020-03-14,-0.07719605564088372
2020-03-15,0.01535743360732482
2020-03-16,-0.1240534876649861
2020-03-17,0.029722915095853703
2020-03-18,0.007863516879808036
2020-03-19,0.1734523343649957
2020-03-20,-0.028640974387357743
2020-03-21,0.0006140913483213696
2020-03-22,-0.07419318945633531
2020-03-23,0.08982792813124899
2020-03-24,0.02813639765229721
2020-03-25,-0.01866199740464755
2020-03-26,0.015776001307892508
2020-03-27,-0.03249367993191292
2020-03-28,-0.02228233437801926
2020-03-29,-0.042121514459866324
2020-03-30,0.05665840064634061
2020-03-31,0.0051709826168406196
2020-04-01,0.015162059583495289
2020-04-02,0.04606814775930755
2020-04-03,0.00043757668516888876
2020-04-04,0.02177571815681909
2020-04-05,-0.011585535894612607
2020-04-06,0.16404238221363912
2020-04-07,-0.02413932610044054
2020-04-08,0.04465542765454444
2020-04-09,-0.010683416672810342
2020-04-10,-0.07533306159734522
2020-04-11,-0.0012407283070875231
2020-04-12,0.01832723345067966
2020-04-13,-0.0306421861946045
2020-04-14,0.00839092217956463
2020-04-15,-0.027726024536599524
2020-04-16,0.11609779226106147
2020-04-17,-0.003018072111493574
2020-04-18,0.0852576465581245
2020-04-19,-0.028759812384345298
2020-04-20,-0.052668190459767866
2020-04-21,0.0025536155843202276
2020-04-22,0.055521377547418746
2020-04-23,0.01321515096967429
2020-04-24,0.022489100040695254
2020-04-25,0.03263875012893951
2020-04-26,0.009175618766145107
2020-04-27,-0.00047046411575068364
2020-04-28,0.006018931730824889
2020-04-29,0.0893881818729644
2020-04-30,-0.044127854572246925
2020-05-01,0.031376298433386976
2020-05-02,0.005150946214915
2020-05-03,-0.020609007560109412
2020-05-04,-0.0131669704646274
2020-05-05,-0.0067459552395897435
2020-05-06,-0.013234966899459842
2020-05-07,0.039557066495070924
2020-05-08,0.0033021681234176527
2020-05-09,-0.0065543495565313055
2020-05-10,-0.11507219139332428
2020-05-11,-0.014348147222125235
2020-05-12,0.018121155444102914
2020-05-13,0.05087652607818895
2020-05-14,0.01867958563806416
2020-05-15,-0.03676762140826098
2020-05-16,0.025509650229937477
2020-05-17,0.031787897526571754
2020-05-18,0.03494140020567937
2020-05-19,-0.005018721303608521
2020-05-20,-0.01583974740573183
2020-05-21,-0.04983284543730935
2020-05-22,0.03580059984110931
2020-05-23,0.007335169838843824
2020-05-24,-0.03077155520072959
2020-05-25,0.014469081171706788
2020-05-26,-0.01678455399637858
2020-05-27,0.033896623804450805
2020-05-28,0.05122138066713484
2020-05-29,0.0037896230420305724
2020-05-30,0.09367317201829281
2020-05-31,-0.04805225219366716
2020-06-01,0.06704246318229863
2020-06-02,-0.04037095258228754
2020-06-03,0.02891886549058826
2020-06-04,0.001011300290520136
2020-06-05,-0.01319655313087717
2020-06-06,0.0029362475851282877
2020-06-07,0.013286783276700269
2020-06-08,0.004649825351307458
2020-06-09,-0.005693761092493742
2020-06-10,0.010291375435353767
2020-06-11,-0.06573315530065488
2020-06-12,0.024684082393310113
2020-06-13,0.005943033496514375
2020-06-14,-0.020270922528565334
2020-06-15,-0.018041007408155858
2020-06-16,0.01932791912454768
2020-06-17,-0.005938240099999637
2020-06-18,-0.003986494914639936
2020-06-19,-0.02161428436583141
2020-06-20,0.009359876790653624
2020-06-21,-0.0012413642640475933
