Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^SPGSCI,^SPGSCI,^SPGSCI,^SPGSCI,^SPGSCI,^SPGSCI
,,,,,,
2017-01-03 00:00:00+00:00,390.6600036621094,390.6600036621094,403.79998779296875,390.1300048828125,398.20001220703125,0
2017-01-04 00:00:00+00:00,396.1400146484375,396.1400146484375,396.3699951171875,390.5199890136719,390.6600036621094,0
2017-01-05 00:00:00+00:00,397.8399963378906,397.8399963378906,400.25,394.32000732421875,396.1400146484375,0
2017-01-06 00:00:00+00:00,398.17999267578125,398.17999267578125,400.1300048828125,395.3599853515625,397.8399963378906,0
2017-01-09 00:00:00+00:00,390.4800109863281,390.4800109863281,398.8900146484375,389.989990234375,398.8900146484375,0
2017-01-10 00:00:00+00:00,389.010009765625,389.010009765625,393.5799865722656,388.8800048828125,391.260009765625,0
2017-01-11 00:00:00+00:00,394.6400146484375,394.6400146484375,396.6600036621094,388.8299865722656,389.82000732421875,0
2017-01-12 00:00:00+00:00,400.67999267578125,400.67999267578125,401.8500061035156,395.239990234375,395.2799987792969,0
2017-01-13 00:00:00+00:00,399.8500061035156,399.8500061035156,402.04998779296875,398.3399963378906,401.32000732421875,0
2017-01-17 00:00:00+00:00,400.9100036621094,400.9100036621094,405.6199951171875,399.54998779296875,399.8500061035156,0
2017-01-18 00:00:00+00:00,395.1700134277344,395.1700134277344,402.260009765625,394.4100036621094,400.9100036621094,0
2017-01-19 00:00:00+00:00,394.9599914550781,394.9599914550781,397.5899963378906,393.9800109863281,395.1700134277344,0
2017-01-20 00:00:00+00:00,399.4100036621094,399.4100036621094,401.30999755859375,394.3299865722656,394.9599914550781,0
2017-01-23 00:00:00+00:00,398.7699890136719,398.7699890136719,400.42999267578125,396.29998779296875,399.4100036621094,0
2017-01-24 00:00:00+00:00,400.1700134277344,400.1700134277344,402.0,398.7699890136719,398.7699890136719,0
2017-01-25 00:00:00+00:00,397.92999267578125,397.92999267578125,400.5799865722656,396.4800109863281,400.1700134277344,0
2017-01-26 00:00:00+00:00,400.67999267578125,400.67999267578125,402.989990234375,397.92999267578125,397.92999267578125,0
2017-01-27 00:00:00+00:00,397.4700012207031,397.4700012207031,400.79998779296875,394.94000244140625,400.67999267578125,0
2017-01-30 00:00:00+00:00,393.510009765625,393.510009765625,397.79998779296875,392.8599853515625,397.4700012207031,0
2017-01-31 00:00:00+00:00,395.8299865722656,395.8299865722656,398.7699890136719,392.5,393.510009765625,0
2017-02-01 00:00:00+00:00,401.70001220703125,401.70001220703125,401.7799987792969,394.8999938964844,395.8299865722656,0
2017-02-02 00:00:00+00:00,400.3500061035156,400.3500061035156,404.1600036621094,399.4800109863281,401.70001220703125,0
